Date,Open,High,Low,Close,Adj Close,Volume,Symbol
03-01-17,4.36,4.733,4.36,4.57,4.57,15000,AGLE
04-01-17,4.62,5.24,4.57,4.99,4.99,23200,AGLE
05-01-17,5.001,5.2,4.71,4.94,4.94,13200,AGLE
06-01-17,5.294,5.4,4.794,5.26,5.26,12900,AGLE
09-01-17,5.11,5.324,5.059,5.21,5.21,9500,AGLE
10-01-17,5.11,5.3,5.01,5.01,5.01,9700,AGLE
11-01-17,5.079,5.39,5.03,5.33,5.33,8400,AGLE
12-01-17,5.29,5.351,5.15,5.18,5.18,2700,AGLE
13-01-17,5.113,5.374,5.05,5.19,5.19,17900,AGLE
17-01-17,5.25,5.295,5.07,5.07,5.07,9500,AGLE
18-01-17,5.15,5.25,5.15,5.18,5.18,19200,AGLE
19-01-17,5.17,5.24,4.864,4.89,4.89,13600,AGLE
20-01-17,4.9,4.9,4.6,4.61,4.61,13100,AGLE
23-01-17,4.74,5,4.35,4.62,4.62,86500,AGLE
24-01-17,4.58,4.58,4.38,4.38,4.38,35300,AGLE
25-01-17,4.82,4.99,4.2,4.21,4.21,31400,AGLE
26-01-17,4.2,4.208,4.02,4.1,4.1,50400,AGLE
27-01-17,4.2,4.41,4,4.02,4.02,183600,AGLE
30-01-17,4.06,4.393,4,4.01,4.01,77900,AGLE
31-01-17,4.08,4.23,3.66,3.99,3.99,71900,AGLE
01-02-17,4.01,4.1,3.832,4.089,4.089,46800,AGLE
02-02-17,4.102,4.109,3.97,4.09,4.09,14600,AGLE
03-02-17,4.1,4.1,4.02,4.02,4.02,16900,AGLE
06-02-17,4.11,4.379,4.05,4.29,4.29,115500,AGLE
07-02-17,4.293,4.293,4.16,4.189,4.189,49000,AGLE
08-02-17,4.19,4.38,4.1,4.21,4.21,91300,AGLE
09-02-17,4.15,4.847,4.15,4.595,4.595,353600,AGLE
10-02-17,4.64,4.74,4.31,4.71,4.71,390300,AGLE
13-02-17,4.75,4.93,4.61,4.8,4.8,230500,AGLE
14-02-17,4.94,5.23,4.75,5.18,5.18,340300,AGLE
15-02-17,5.14,5.347,4.931,5.04,5.04,175200,AGLE
16-02-17,4.98,5.144,4.946,5.1,5.1,115900,AGLE
17-02-17,5.1,5.55,5.079,5.22,5.22,191100,AGLE
