Date,Open,High,Low,Close,Adj Close,Volume,Symbol,,,,,,,,,,,,,
11/1/2017,4.34,4.41,4.2,4.23,4.23,18300,AGLE,,,,,,,,,,,,,
11/2/2017,4.378,4.73,4.14,4.35,4.35,56100,AGLE,,,,,,,,,,,,,
11/3/2017,4.48,5.01,4.38,4.93,4.93,240100,AGLE,,,,,,,,,,,,,
11/6/2017,4.9,5.26,4.8,4.91,4.91,37900,AGLE,,,,,,,,,,,,,
11/7/2017,4.97,5.17,4.717,4.85,4.85,17700,AGLE,,,,,,,,,,,,,
11/8/2017,4.867,4.871,4.67,4.67,4.67,6700,AGLE,,,,,,,,,,,,,
11/9/2017,4.65,5.11,4.5,5.01,5.01,51400,AGLE,,,,,,,,,,,,,
11/10/2017,4.95,5.23,4.79,5.13,5.13,56500,AGLE,,,,,,,,,,,,,
11/13/2017,5.11,5.2,4.72,4.82,4.82,62600,AGLE,,,,,,,,,,,,,
11/14/2017,4.99,5.05,4.42,4.54,4.54,74900,AGLE,,,,,,,,,,,,,
11/15/2017,4.54,4.89,4.42,4.65,4.65,59700,AGLE,,,,,,,,,,,,,
11/16/2017,4.65,4.86,4.44,4.74,4.74,33800,AGLE,,,,,,,,,,,,,
11/17/2017,4.8,4.95,4.51,4.54,4.54,31100,AGLE,,,,,,,,,,,,,
11/20/2017,4.61,4.75,4.48,4.49,4.49,43200,AGLE,,,,,,,,,,,,,
11/21/2017,4.57,4.65,4.22,4.3,4.3,74500,AGLE,,,,,,,,,,,,,
11/22/2017,4.27,4.48,4.225,4.35,4.35,36700,AGLE,,,,,,,,,,,,,
11/24/2017,4.36,4.45,4.14,4.27,4.27,18100,AGLE,,,,,,,,,,,,,
11/27/2017,4.22,4.35,4.16,4.21,4.21,20100,AGLE,,,,,,,,,,,,,
11/28/2017,4.27,4.39,4.1,4.1,4.1,44500,AGLE,,,,,,,,,,,,,
11/29/2017,4.185,4.385,3.91,4.005,4.005,45400,AGLE,,,,,,,,,,,,,
11/30/2017,3.99,4.19,3.75,4,4,154700,AGLE,,,,,,,,,,,,,
12/1/2017,4.04,4.98,4.004,4.73,4.73,189600,AGLE,,,,,,,,,,,,,
11/1/2017,169.869995,169.940002,165.610001,166.889999,166.292206,33637800,AAPL,,,,,,,,,,,,,
11/2/2017,166.600006,168.5,165.279999,168.110001,167.507828,41393400,AAPL,,,,,,,,,,,,,
11/3/2017,174,174.259995,171.119995,172.5,171.882111,59398600,AAPL,,,,,,,,,,,,,
11/6/2017,172.369995,174.990005,171.720001,174.25,173.625839,35026300,AAPL,,,,,,,,,,,,,
11/7/2017,173.910004,175.25,173.600006,174.809998,174.183823,24361500,AAPL,,,,,,,,,,,,,
11/8/2017,174.660004,176.240005,174.330002,176.240005,175.608719,24409500,AAPL,,,,,,,,,,,,,
11/9/2017,175.110001,176.100006,173.139999,175.880005,175.25,29482600,AAPL,,,,,,,,,,,,,
11/10/2017,175.110001,175.380005,174.270004,174.669998,174.669998,25145500,AAPL,,,,,,,,,,,,,
11/13/2017,173.5,174.5,173.399994,173.970001,173.970001,16982100,AAPL,,,,,,,,,,,,,
11/14/2017,173.039993,173.479996,171.179993,171.339996,171.339996,24782500,AAPL,,,,,,,,,,,,,
11/15/2017,169.970001,170.320007,168.380005,169.080002,169.080002,29158100,AAPL,,,,,,,,,,,,,
11/16/2017,171.179993,171.869995,170.300003,171.100006,171.100006,23637500,AAPL,,,,,,,,,,,,,
11/17/2017,171.039993,171.389999,169.639999,170.149994,170.149994,21899500,AAPL,,,,,,,,,,,,,
11/20/2017,170.289993,170.559998,169.559998,169.979996,169.979996,16262400,AAPL,,,,,,,,,,,,,
11/21/2017,170.779999,173.699997,170.779999,173.139999,173.139999,25131300,AAPL,,,,,,,,,,,,,
11/22/2017,173.360001,175,173.050003,174.960007,174.960007,25588900,AAPL,,,,,,,,,,,,,
11/24/2017,175.100006,175.5,174.649994,174.970001,174.970001,14026700,AAPL,,,,,,,,,,,,,
11/27/2017,175.050003,175.080002,173.339996,174.089996,174.089996,20716800,AAPL,,,,,,,,,,,,,
11/28/2017,174.300003,174.869995,171.860001,173.070007,173.070007,26428800,AAPL,,,,,,,,,,,,,
11/29/2017,172.630005,172.919998,167.160004,169.479996,169.479996,41666400,AAPL,,,,,,,,,,,,,
11/30/2017,170.429993,172.139999,168.440002,171.850006,171.850006,41527200,AAPL,,,,,,,,,,,,,
12/1/2017,169.949997,171.669998,168.5,171.050003,171.050003,39759300,AAPL,,,,,,,,,,,,,
11/1/2017,3.25,3.275,3.05,3.15,3.15,171028,ADVM,,,,,,,,,,,,,
11/2/2017,3.195,3.25,3.06,3.25,3.25,115354,ADVM,,,,,,,,,,,,,
11/3/2017,3.2,3.55,3.2,3.25,3.25,558052,ADVM,,,,,,,,,,,,,
11/6/2017,3.3,3.35,3.15,3.2,3.2,135786,ADVM,,,,,,,,,,,,,
11/7/2017,3.1745,3.2,3,3.15,3.15,192769,ADVM,,,,,,,,,,,,,
11/8/2017,3.1,3.1,2.9,3,3,182919,ADVM,,,,,,,,,,,,,
11/9/2017,2.9,3.1,2.9,2.95,2.95,163180,ADVM,,,,,,,,,,,,,
11/10/2017,2.9,3,2.85,2.85,2.85,348683,ADVM,,,,,,,,,,,,,
11/13/2017,2.95,3.05,2.925,3,3,234485,ADVM,,,,,,,,,,,,,
11/14/2017,3,3.15,2.9,3.1,3.1,251210,ADVM,,,,,,,,,,,,,
11/15/2017,3.1,3.15,2.95,3,3,149888,ADVM,,,,,,,,,,,,,
11/16/2017,3.05,3.175,2.95,3.15,3.15,165117,ADVM,,,,,,,,,,,,,
11/17/2017,3.1,3.2,3.05,3.15,3.15,618298,ADVM,,,,,,,,,,,,,
11/20/2017,3.2,3.25,2.9,2.95,2.95,306466,ADVM,,,,,,,,,,,,,
11/21/2017,3,3.1,2.91,3,3,226795,ADVM,,,,,,,,,,,,,
11/22/2017,3.05,3.05,3,3.025,3.025,98197,ADVM,,,,,,,,,,,,,
11/24/2017,3.025,3.05,2.975,3.05,3.05,65743,ADVM,,,,,,,,,,,,,
11/27/2017,3,3.2,2.988,3.05,3.05,396313,ADVM,,,,,,,,,,,,,
11/28/2017,3.1,3.2,3.05,3.05,3.05,601305,ADVM,,,,,,,,,,,,,
11/29/2017,3.1,3.2,2.95,3,3,241457,ADVM,,,,,,,,,,,,,
11/30/2017,3,3.15,2.95,3.05,3.05,734900,ADVM,,,,,,,,,,,,,
12/1/2017,3.05,3.125,2.95,3.05,3.05,1439822,ADVM,,,,,,,,,,,,,
11/1/2017,48.34,48.380001,47.259998,47.75,47.601967,98200,ABAX,,,,,,,,,,,,,
11/2/2017,47.689999,48.009998,47.049999,47.48,47.332806,115100,ABAX,,,,,,,,,,,,,
11/3/2017,47.540001,48.099998,47.490002,47.490002,47.342773,139400,ABAX,,,,,,,,,,,,,
11/6/2017,47.619999,47.720001,46.689999,47.02,46.874229,85700,ABAX,,,,,,,,,,,,,
11/7/2017,47.16,47.16,45,45.77,45.628105,134000,ABAX,,,,,,,,,,,,,
11/8/2017,45.540001,46.189999,45.540001,45.93,45.787609,96000,ABAX,,,,,,,,,,,,,
11/9/2017,45.490002,46.48,45,46.130001,45.986992,84900,ABAX,,,,,,,,,,,,,
11/10/2017,46.110001,46.689999,45.290001,46.459999,46.315968,147000,ABAX,,,,,,,,,,,,,
11/13/2017,46.279999,46.720001,45.5,45.849998,45.707855,111000,ABAX,,,,,,,,,,,,,
11/14/2017,45.68,46.34,45.639999,46.16,46.016895,108700,ABAX,,,,,,,,,,,,,
11/15/2017,45.990002,47.639999,45.91,47.209999,47.063641,91600,ABAX,,,,,,,,,,,,,
11/16/2017,47.41,48.599998,46.849998,48.470001,48.319736,89200,ABAX,,,,,,,,,,,,,
11/17/2017,48.290001,49.68,47.139999,49.369999,49.216946,170700,ABAX,,,,,,,,,,,,,
11/20/2017,49.32,49.57,48.540001,49.560001,49.406357,94200,ABAX,,,,,,,,,,,,,
11/21/2017,49.759998,50.549999,48.119999,50.290001,50.134094,115300,ABAX,,,,,,,,,,,,,
11/22/2017,50.189999,50.82,49.740002,50.18,50.024433,69000,ABAX,,,,,,,,,,,,,
11/24/2017,50.18,50.41,49.080002,49.549999,49.396385,46500,ABAX,,,,,,,,,,,,,
11/27/2017,49.700001,50.27,49.59,49.849998,49.695457,44300,ABAX,,,,,,,,,,,,,
11/28/2017,49.84,50.279999,49.720001,49.990002,49.835026,64600,ABAX,,,,,,,,,,,,,
11/29/2017,50.18,51.709999,49.91,51.610001,51.450001,103700,ABAX,,,,,,,,,,,,,
11/30/2017,51.599998,51.599998,47.830002,48.740002,48.740002,220500,ABAX,,,,,,,,,,,,,
12/1/2017,48.689999,48.689999,45.130001,48.139999,48.139999,208700,ABAX,,,,,,,,,,,,,
11/1/2017,58,59.07,57.18,57.540001,57.540001,92100,ANIP,,,,,,,,,,,,,
11/2/2017,55.279999,59.93,55.279999,59.580002,59.580002,275600,ANIP,,,,,,,,,,,,,
11/3/2017,60,62.349998,59.43,61.970001,61.970001,355600,ANIP,,,,,,,,,,,,,
11/6/2017,62.040001,63.98,61.560001,63.509998,63.509998,173600,ANIP,,,,,,,,,,,,,
11/7/2017,63.66,63.66,59.099998,59.939999,59.939999,294800,ANIP,,,,,,,,,,,,,
11/8/2017,59.59,61.509998,58.189999,60.400002,60.400002,186200,ANIP,,,,,,,,,,,,,
11/9/2017,60.18,61.110001,59.049999,60.860001,60.860001,115500,ANIP,,,,,,,,,,,,,
11/10/2017,60.700001,62.82,60.700001,61.900002,61.900002,111000,ANIP,,,,,,,,,,,,,
11/13/2017,61.900002,62.970001,60.810001,61.830002,61.830002,75500,ANIP,,,,,,,,,,,,,
11/14/2017,61.57,64.080002,60.779999,64.059998,64.059998,158700,ANIP,,,,,,,,,,,,,
11/15/2017,63.549999,63.619999,62.490002,62.810001,62.810001,81500,ANIP,,,,,,,,,,,,,
11/16/2017,62.799999,63.299999,61.91,62.939999,62.939999,188900,ANIP,,,,,,,,,,,,,
11/17/2017,62.639999,64.07,62.369999,63.75,63.75,60500,ANIP,,,,,,,,,,,,,
11/20/2017,63.470001,64.5,62.790001,64.110001,64.110001,94600,ANIP,,,,,,,,,,,,,
11/21/2017,64.449997,64.480003,63.18,63.73,63.73,92500,ANIP,,,,,,,,,,,,,
11/22/2017,63.639999,63.939999,63.220001,63.349998,63.349998,83600,ANIP,,,,,,,,,,,,,
11/24/2017,63.700001,74.699997,63.700001,74.559998,74.559998,380500,ANIP,,,,,,,,,,,,,
11/27/2017,74.370003,74.5,66.230003,66.68,66.68,486900,ANIP,,,,,,,,,,,,,
11/28/2017,67.389999,71.800003,67.099998,70.309998,70.309998,657600,ANIP,,,,,,,,,,,,,
11/29/2017,69.910004,71.529999,69.290001,71.019997,71.019997,169400,ANIP,,,,,,,,,,,,,
11/30/2017,71.019997,71.209999,69.970001,71.110001,71.110001,94200,ANIP,,,,,,,,,,,,,
12/1/2017,70.949997,71.93,69.050003,70.669998,70.669998,126400,ANIP,,,,,,,,,,,,,
11/1/2017,4.6,4.6,4.4,4.47,4.47,281000,ACTG,,,,,,,,,,,,,
11/2/2017,4.45,4.55,4.35,4.45,4.45,418400,ACTG,,,,,,,,,,,,,
11/3/2017,4.5,4.5,4.35,4.45,4.45,254300,ACTG,,,,,,,,,,,,,
11/6/2017,4.45,4.53,4.35,4.45,4.45,454200,ACTG,,,,,,,,,,,,,
11/7/2017,4.1,4.38,4.05,4.2,4.2,610700,ACTG,,,,,,,,,,,,,
